"qname","qid","qstart","qend","genome","strand","length","start","end","gene_label","is_center"
"ERR1417326",1,3828,653,"ERR1417326","reverse",3175,653,3828,"gene_1",TRUE
"ERR1417326",2,3829,905,"ERR1417326","reverse",2924,905,3829,"gene_2",FALSE
"ERR1417326",3,3830,2193,"ERR1417326","reverse",1637,2193,3830,"gene_3",FALSE
"ERR1417326",4,3831,3305,"ERR1417326","reverse",526,3305,3831,"gene_4",FALSE
"ERR1417326",5,3832,4756,"ERR1417326","forward",924,3832,4756,"gene_5",FALSE
"ERR1417326",6,3833,5143,"ERR1417326","forward",1310,3833,5143,"gene_6",FALSE
"ERR1417326",7,3834,6288,"ERR1417326","forward",2454,3834,6288,"gene_7",FALSE
"ERR1417326",8,3835,7203,"ERR1417326","forward",3368,3835,7203,"gene_8",FALSE
"ERR1417326",9,3836,7316,"ERR1417326","forward",3480,3836,7316,"gene_9",FALSE
"ERR1417326",10,3837,7606,"ERR1417326","forward",3769,3837,7606,"gene_10",FALSE
"ERR1946999",11,2005,14128,"ERR1946999","forward",12123,2005,14128,"gene_11",FALSE
"ERR1946999",12,2006,15142,"ERR1946999","forward",13136,2006,15142,"gene_12",FALSE
"ERR1946999",13,2007,15300,"ERR1946999","forward",13293,2007,15300,"gene_13",FALSE
"ERR1946999",14,13,13427,"ERR1946999","forward",13414,13,13427,"gene_14",FALSE
"ERR1946999",15,14,14256,"ERR1946999","forward",14242,14,14256,"gene_15",FALSE
"ERR1946999",16,2010,17877,"ERR1946999","forward",15867,2010,17877,"gene_16",FALSE
"ERR1946999",17,2011,18083,"ERR1946999","forward",16072,2011,18083,"gene_17",FALSE
"ERR1946999",18,17,16551,"ERR1946999","forward",16534,17,16551,"gene_18",FALSE
"ERR1946999",19,2013,20050,"ERR1946999","forward",18037,2013,20050,"gene_19",FALSE
"ERR1946999",20,2014,20723,"ERR1946999","forward",18709,2014,20723,"gene_20",FALSE
"ERR1946999",21,2015,21249,"ERR1946999","forward",19234,2015,21249,"gene_21",FALSE
"ERR1946999",22,2016,23408,"ERR1946999","forward",21392,2016,23408,"gene_22",FALSE
"ERR1946999",23,2017,23820,"ERR1946999","forward",21803,2017,23820,"gene_23",FALSE
"ERR1946999",24,2018,26046,"ERR1946999","forward",24028,2018,26046,"gene_24",FALSE
"ERR1946999",25,2019,26360,"ERR1946999","forward",24341,2019,26360,"gene_25",FALSE
"ERR1946999",26,2020,27166,"ERR1946999","forward",25146,2020,27166,"gene_26",FALSE
"ERR1946999",27,2021,28037,"ERR1946999","forward",26016,2021,28037,"gene_27",FALSE
"ERR1946999",28,2022,28850,"ERR1946999","forward",26828,2022,28850,"gene_28",FALSE
"ERR1946999",29,2023,29378,"ERR1946999","forward",27355,2023,29378,"gene_29",FALSE
"ERR1946999",30,2024,30838,"ERR1946999","forward",28814,2024,30838,"gene_30",FALSE
"ERR1946999",31,2025,31373,"ERR1946999","forward",29348,2025,31373,"gene_31",FALSE
"ERR1946999",32,2026,32148,"ERR1946999","forward",30122,2026,32148,"gene_32",FALSE
"ERR1946999",33,2027,32260,"ERR1946999","forward",30233,2027,32260,"gene_33",FALSE
"ERR1946999",34,2028,35384,"ERR1946999","forward",33356,2028,35384,"gene_34",FALSE
"ERR1946999",35,2029,36806,"ERR1946999","forward",34777,2029,36806,"gene_35",FALSE
"ERR1946999",36,2030,37634,"ERR1946999","forward",35604,2030,37634,"gene_36",FALSE
"ERR1946999",37,2031,38571,"ERR1946999","forward",36540,2031,38571,"gene_37",FALSE
"ERR1946999",38,2032,38744,"ERR1946999","forward",36712,2032,38744,"gene_38",FALSE
"ERR1946999",39,2033,41648,"ERR1946999","forward",39615,2033,41648,"gene_39",FALSE
"ERR1946999",40,2034,42447,"ERR1946999","forward",40413,2034,42447,"gene_40",FALSE
"ERR1946999",41,2035,43330,"ERR1946999","forward",41295,2035,43330,"gene_41",FALSE
"ERR1946999",42,2036,44206,"ERR1946999","forward",42170,2036,44206,"gene_42",FALSE
"ERR1417333",43,1323,29893,"ERR1417333","forward",28570,1323,29893,"gene_43",FALSE
"ERR1417333",44,1324,31127,"ERR1417333","forward",29803,1324,31127,"gene_44",FALSE
"ERR1417333",45,1325,32820,"ERR1417333","forward",31495,1325,32820,"gene_45",FALSE
"ERR1417333",46,1326,33670,"ERR1417333","forward",32344,1326,33670,"gene_46",FALSE
"ERR1417333",47,1327,34216,"ERR1417333","forward",32889,1327,34216,"gene_47",FALSE
"ERR1417333",48,1328,35119,"ERR1417333","forward",33791,1328,35119,"gene_48",FALSE
"ERR1417333",49,1329,37428,"ERR1417333","forward",36099,1329,37428,"gene_49",FALSE
"ERR1417333",50,1330,38353,"ERR1417333","forward",37023,1330,38353,"gene_50",FALSE
"ERR1417333",51,1331,38629,"ERR1417333","forward",37298,1331,38629,"gene_51",FALSE
"ERR1417333",52,1332,42232,"ERR1417333","forward",40900,1332,42232,"gene_52",FALSE
"ERR1417333",53,1333,43127,"ERR1417333","forward",41794,1333,43127,"gene_53",FALSE
"ERR1417333",54,1334,43148,"ERR1417333","forward",41814,1334,43148,"gene_54",FALSE
"ERR1417333",55,1335,45186,"ERR1417333","forward",43851,1335,45186,"gene_55",FALSE
"ERR1417333",56,1336,46225,"ERR1417333","forward",44889,1336,46225,"gene_56",FALSE
"ERR1417333",57,1337,46821,"ERR1417333","forward",45484,1337,46821,"gene_57",FALSE
"ERR1417333",58,1338,46979,"ERR1417333","forward",45641,1338,46979,"gene_58",FALSE
"ERR1417333",59,1339,48349,"ERR1417333","forward",47010,1339,48349,"gene_59",FALSE
"ERR1417333",60,1340,49002,"ERR1417333","forward",47662,1340,49002,"gene_60",FALSE
"ERR1417333",61,1341,49709,"ERR1417333","forward",48368,1341,49709,"gene_61",FALSE
