qname,qid,qstart,qend
ERR1417339,1,4364,601
ERR1417339,2,4365,830
ERR1417339,3,4382,847
ERR1417339,4,4481,667
ERR1417339,5,4,2822
ERR1417339,6,5,4604
ERR1417339,7,6,5778
ERR1417339,8,86,10316
ERR1417339,9,87,14111
ERR1417339,10,88,17750
ERR1417339,11,89,17922
ERR1417339,12,90,19869
ERR1417339,13,91,20077
ERR1417339,14,92,20933
ERR1417339,15,93,21892
ERR1417339,16,94,22573
ERR1417339,17,95,24317
ERR1417339,18,96,25785
ERR1417339,19,97,26568
ERR1417339,20,98,28094
ERR1417339,21,99,29803
ERR1417339,22,100,32637
ERR1417339,23,101,33005
ERR1417339,24,102,34819
ERR1417339,25,103,35343
ERR1417339,26,104,35631
ERR1417339,27,105,36493
ERR1417339,28,106,39192
ERR1417339,29,107,40687
ERR1417339,30,108,41249
ERR1417339,31,109,42220
ERR1417339,32,110,43027
ERR1417339,33,111,43318
ERR1417339,34,112,45060
ERR1417339,35,113,46286
ERR1417339,36,114,47148
ERR1417339,37,115,48655
ERR1417339,38,116,49440
ERR1417339,39,117,49868
ERR1417339,40,118,51255
ERR1417339,41,119,51370
ERR1417339,42,120,53164
ERR1417339,43,121,53718
ERR1417339,44,122,55216
ERR1417339,45,123,55462
ERR1417339,46,124,57554
ERR1417339,47,125,58050
ERR1417339,48,126,59629
ERR1417339,49,127,60480
ERR1417339,50,128,61191
ERR1417339,51,129,62104
ERR1417339,52,130,64033
ERR1417339,53,131,64688
ERR1417339,54,132,65775
ERR1417339,55,201,59261
ERR1417339,56,134,67357
ERR1417339,57,135,69523
ERR1417339,58,136,71230
ERR1417339,59,137,71506
ERR1417339,60,138,72848
ERR1417339,61,139,72966
ERR1417339,62,140,74153
ERR1417339,63,141,74331
ERR1417339,64,142,75394
ERR1417339,65,143,76655
ERR1417339,66,144,79560
ERR1417339,67,145,80019
ERR1417339,68,146,80761
ERR1946991,69,2326,74631
ERR1946991,1,8368,7994
ERR1946991,2,8368,7994
ERR1946991,1,64113,63739
ERR1946991,2,64113,63739
ERR1946991,1,80887,80423
ERR1946991,2,80232,80017
ERR1946991,1,107376,106897
ERR1946991,2,106612,106391
ERR1946991,3,106285,105968
ERR1946991,1,71039,70560
ERR1946991,2,70479,70339
ERR1946991,3,70168,69407
ERR1946991,1,140723,140046
ERR1946991,2,140723,140046
ERR1946991,1,25732,25139
ERR1946991,2,25732,25139
ERR1946991,1,56762,56496
ERR1946991,2,56365,56024
ERR1946991,3,55787,55951
ERR1946991,1,36508,37629
ERR1946991,2,36508,37629
ERR1946991,1,65137,65430
ERR1946991,2,65137,65430
ERR1946991,1,47096,47656
ERR1946991,2,47096,47656
ERR1946991,1,31474,30422
ERR1946991,2,31474,30422
ERR1946991,1,140723,140046
ERR1946991,2,140723,140046
ERR1946991,1,105146,105574
ERR1946991,2,104733,104876
ERR1946991,1,65771,65346
ERR1946991,2,65215,65015
ERR1946991,1,141637,141404
ERR1946991,2,141637,141404
ERR1946991,1,64328,64687
ERR1946991,2,64328,64687
ERR1946991,1,28793,24273
ERR1946991,2,28793,24273
ERR1946991,3,28793,24273
ERR1946991,1,27870,28106
ERR1946991,2,27870,28106
ERR1946991,1,47096,47656
ERR1946991,2,47096,47656
ERR1946991,3,47096,47656
ERR1946991,4,47096,47656
ERR1946991,1,1084,1653
ERR1946991,2,1084,1653
ERR1946991,1,9515,8760
ERR1946991,2,9515,8760
ERR1946991,1,7054,6500
ERR1946991,2,7054,6500
ERR1946991,1,8368,7994
ERR1946991,2,8368,7994
ERR1946991,1,127306,127710
ERR1946991,2,127306,127710
ERR1946991,1,76,1284
ERR1946991,2,76,1284
ERR1946991,1,15244,15966
ERR1946991,2,15244,15966
ERR1946991,1,64786,65022
ERR1946991,2,64786,65022
ERR1946991,1,112791,112567
ERR1946991,2,112791,112567
ERR1946991,1,76,1284
ERR1946991,2,76,1284
ERR1946991,1,75289,74864
ERR1946991,2,75289,74864
ERR1946991,1,17252,16260
ERR1946991,1,15019,14321
ERR1946991,1,143461,144114
ERR1946991,2,144127,145338
ERR1946991,1,76,1284
ERR1946991,2,76,1284
ERR1946991,1,404,96
ERR1946991,2,404,96
ERR1946991,1,3,1007
ERR1946991,1,3,1007
ERR1946991,1,8368,7994
ERR1946991,2,8368,7994
ERR1946991,1,76,1284
ERR1946991,2,76,1284
ERR1946991,1,6336,7286
ERR1946991,2,6336,7286
ERR1946991,1,1,135
ERR1946991,2,1,135
ERR1946991,1,16021,13337
ERR1946991,2,16021,13337
ERR1946991,1,5059,4310
ERR1946991,2,5059,4310
ERR1946991,1,37703,39418
ERR1946991,2,37703,39418
ERR1946991,1,76,1284
ERR1946991,1,76,1284
ERR1946991,1,132396,130297
ERR1946991,2,132396,130297
ERR1946991,1,1,594
ERR1946991,1,1,594
ERR1946991,1,1,594
ERR1946991,1,1,594
ERR1946991,1,1,594
ERR1946991,1,1,594
ERR1946991,1,3,236
ERR1946991,1,3,236
ERR1946999,1,-41139,-40783
ERR1946999,2,-41731,-41282
ERR1946999,3,-41948,-42670
ERR1946999,4,-42816,-43526
ERR1946999,5,-43709,-44533
ERR1946999,6,-45491,-44568
ERR1946999,7,-46665,-45556
ERR1946999,1,97349,96738
ERR1946999,2,96587,95631
ERR1946999,3,95619,95290
ERR1946999,4,93832,95043
ERR1946999,5,91654,93747
ERR1946999,6,91133,91402
ERR1946999,7,90920,89622
ERR1946999,8,87142,88905
ERR1946999,9,83347,87045
ERR1946999,10,79708,83343
ERR1946999,11,79536,79030
ERR1946999,12,77589,79007
ERR1946999,13,77381,76674
ERR1946999,14,76525,75578
ERR1946999,15,75566,74898
ERR1946999,16,74885,73266
ERR1946999,17,73141,71828
ERR1946999,18,71674,70901
ERR1946999,19,70891,69389
ERR1946999,20,69365,67983
ERR1946999,21,67656,64819
ERR1946999,22,64822,64454
ERR1946999,23,64454,62643
ERR1946999,24,62640,62113
ERR1946999,25,62116,61841
ERR1946999,26,61828,61424
ERR1946999,27,60966,61367
ERR1946999,28,58267,60966
ERR1946999,29,56772,58256
ERR1946999,30,56210,56734
ERR1946999,31,55239,55568
ERR1946999,32,54432,55226
ERR1946999,33,54140,52428
ERR1946999,34,52398,51172
ERR1946999,35,51172,50312
ERR1946999,36,50310,49714
ERR1946999,37,48803,49717
ERR1946999,38,48018,48767
ERR1946999,39,47590,47916
ERR1946999,40,46203,47513
ERR1946999,41,46088,44421
ERR1946999,42,44294,43740
ERR1946999,43,43740,43300
ERR1946999,44,42242,43243
ERR1946999,45,41996,42202
ERR1946999,46,39904,42003
ERR1946999,47,39408,38635
ERR1946999,48,37829,38440
ERR1946999,49,36978,37832
ERR1946999,50,36268,36855
ERR1946999,51,35355,36149
ERR1946999,52,33426,35234
ERR1946999,53,32771,33301
ERR1946999,54,30997,31911
ERR1946999,56,30425,28272
ERR1946999,57,28259,27087
ERR1946999,58,26551,27042
ERR1946999,59,26275,25559
ERR1946999,60,24933,25490
ERR1946999,61,24815,24408
ERR1946999,62,23629,24387
ERR1946999,63,23451,22747
ERR1946999,64,22388,21249
ERR1946999,65,21127,20225
ERR1946999,66,18222,20141
ERR1946999,67,17763,18119
ERR1946999,68,17000,17581
ERR1946999,1,50282,49455
ERR1946999,2,50492,51244
ERR1946999,3,51382,52257
ERR1946999,4,52323,52808
ERR1946999,5,52907,53731
ERR1946999,6,53825,54541
ERR1946999,7,54543,54860
ERR1946999,8,55353,54901
ERR1946999,9,56527,55910
ERR1946999,10,57819,56818
ERR1946999,11,58981,57839
ERR1946999,12,59760,59110
ERR1946999,13,60596,59784
ERR1946999,14,61366,60593
ERR1946999,15,62298,61363
ERR1946999,16,63224,62592
ERR1946999,17,64058,63372
ERR1946999,18,64308,65537
ERR1946999,19,66584,67837
ERR1946999,20,69326,67878
ERR1946999,21,72518,69339
ERR1946999,22,73745,72525
ERR1946999,23,73943,74974
ERR1946999,24,75149,75934
ERR1946999,25,76026,76715
ERR1946999,26,76712,77425
ERR1946999,27,77435,78211
ERR1946999,28,78612,78283
ERR1946999,29,79112,78849
ERR1946999,30,80485,79115
ERR1946999,31,82005,80542
ERR1946999,32,82240,83109
ERR1946999,33,83943,83164
ERR1946999,34,84048,84776
ERR1946999,35,86054,84786
ERR1946999,36,86342,88099
ERR1946999,37,88181,88540
ERR1946999,38,88648,89310
ERR1946999,39,89307,90665
ERR1946999,40,90901,90731
ERR1946999,41,91038,91937
ERR1946999,42,92510,91959
ERR1946999,43,94927,92531
ERR1946999,44,95113,96021
ERR1946999,45,96018,96290
ERR1946999,46,97505,96492
ERR1946999,47,98005,99363
ERR1946999,48,99527,100672
ERR1946999,49,101660,100716
ERR1946999,50,101846,102955
ERR1946999,51,103064,105310
ERR1946999,52,105438,105821
ERR1946999,53,105992,107452
ERR1946999,54,108480,107524
ERR1946999,55,109309,108677
ERR1946999,56,109437,110210
ERR1946999,57,110230,110853
ERR1946999,58,111777,110992
ERR1946999,59,111988,111791
ERR1946999,60,112367,112002
ERR1946999,61,113345,112479
ERR1946999,62,113724,113479
ERR1946999,1,86121,86444
ERR1946999,2,86595,87296
ERR1946999,3,87436,88104
ERR1946999,4,89063,88221
ERR1946999,5,89830,89219
ERR1946999,6,90422,89823
ERR1946999,7,91705,90515
ERR1946999,8,91705,90515
ERR1946999,9,93843,91702
ERR1946999,10,95306,93840
ERR1946999,11,96327,95581
ERR1946999,12,96875,96327
ERR1946999,13,97407,96859
ERR1946999,14,97984,97445
ERR1946999,15,98965,97988
ERR1946999,16,99179,100600
ERR1946999,1,33676,35277
ERR1946999,2,35292,35966
ERR1946999,3,35992,37326
ERR1946999,4,37926,37327
ERR1946999,5,39365,38178
ERR1946999,6,40552,39668
ERR1946999,7,40669,41574
ERR1946999,8,41669,42685
ERR1946999,9,42823,43407
ERR1946999,10,46343,43464
ERR1946999,11,46540,47217
ERR1946999,12,47243,48049
ERR1946999,13,48104,48538
ERR1946999,14,48969,48535
ERR1946999,15,49324,48977
ERR1946999,16,50888,49434
ERR1946999,17,54064,50888
ERR1946999,18,55327,54077
ERR1946999,19,55978,55352
ERR1946999,20,58223,56163
ERR1946999,21,59215,58238
ERR1946999,22,59659,59970
ERR1946999,23,59989,60246
ERR1946999,24,60487,61182
ERR1946999,25,61310,62098
ERR1946999,26,62217,63488
ERR1946999,27,63556,64929
ERR1946999,28,65006,65479
ERR1946999,29,65909,65529
ERR1946999,30,66026,66586
ERR1946999,31,68026,66626
ERR1946999,32,69461,68277
ERR1946999,33,69912,69463
ERR1946999,34,70730,70077
ERR1946999,35,71201,70914
ERR1946999,36,73185,71299
ERR1946999,37,73544,73750
ERR1946999,38,73826,74350
ERR1946999,39,76669,75737
ERR1946999,40,76781,77266
ERR1946999,41,78611,77337
ERR1946999,42,79575,79967
ERR1946999,43,79967,80332
ERR1946999,44,80345,82180
ERR1946999,45,82195,82905
ERR1946999,46,83476,86316
ERR1946999,47,86316,87512
ERR1946999,48,87575,89008
ERR1946999,49,89156,90322
ERR1946999,50,90337,91227
ERR1946999,1,39453,37222
ERR1946999,2,37117,36434
ERR1946999,3,35975,34278
ERR1946999,4,34194,33034
ERR1946999,5,33034,32441
ERR1946999,6,32399,31857
ERR1946999,7,31688,31062
ERR1946999,8,29994,30869
ERR1946999,9,29741,29523
ERR1946999,10,29511,29074
ERR1946999,11,29077,28307
ERR1946999,12,28134,25954
ERR1946999,13,25745,23412
ERR1946999,14,22584,23363
ERR1946999,15,22490,21672
ERR1946999,16,21598,21239
ERR1946999,17,21228,20866
ERR1946999,18,20744,19902
ERR1946999,19,19857,19348
ERR1946999,20,19333,18278
ERR1946999,21,18177,17656
ERR1946999,22,17191,17595
ERR1946999,23,16571,17191
ERR1946999,24,15771,16526
ERR1946999,25,14516,15379
ERR1946999,26,13749,14441
ERR1946999,27,13636,12188
ERR1946999,28,12020,11784
ERR1946999,29,11771,11616
ERR1946999,30,11468,9759
ERR1946999,31,9443,9721
ERR1946999,32,8827,9330
ERR1946999,33,8543,8710
ERR1946999,34,8296,8535
ERR1946999,35,6243,8222
ERR1946999,36,5554,6126
ERR1946999,37,4658,5416
ERR1946999,38,1934,4570
ERR1946999,39,1449,1898
ERR1946999,40,924,1301
ERR1946999,1,1639,1073
ERR1946999,2,3140,1977
ERR1946999,3,3764,3171
ERR1946999,4,4147,3764
ERR1946999,5,4286,5473
ERR1946999,6,5598,5840
ERR1946999,7,5962,6999
ERR1946999,8,8428,7118
ERR1946999,9,10869,8428
ERR1946999,10,10990,12003
ERR1946999,11,12003,12692
ERR1946999,12,12780,13412
ERR1946999,13,13434,14216
ERR1946999,14,14213,15100
ERR1946999,15,15150,15785
ERR1946999,16,15801,16229
ERR1946999,17,16226,17953
ERR1946999,18,17956,18966
ERR1946999,19,18976,19737
ERR1946999,20,19749,20729
ERR1946999,21,20741,21082
ERR1946999,22,21100,21873
ERR1946999,23,21911,22519
ERR1946999,24,22529,23083
ERR1946999,25,23073,23453
ERR1946999,26,23453,24154
ERR1946999,27,24154,25113
ERR1946999,28,24154,25113
ERR1946999,1,87355,85052
ERR1946999,2,84218,85006
ERR1946999,3,83094,84044
ERR1946999,4,82364,82966
