locus_tag	ftype	length_bp	gene	EC_number	COG	product
KOOEHCHE_00001	CDS	531				hypothetical protein
KOOEHCHE_00002	CDS	1410		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
KOOEHCHE_00003	CDS	1233	serA_1	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
KOOEHCHE_00004	CDS	885	rhtA_1		COG5006	Threonine/homoserine exporter RhtA
KOOEHCHE_00005	CDS	861	rhtA_2		COG5006	Threonine/homoserine exporter RhtA
KOOEHCHE_00006	CDS	444				hypothetical protein
KOOEHCHE_00007	CDS	777	yfcA_1		COG0730	putative membrane transporter protein YfcA
KOOEHCHE_00008	CDS	906	truB_1	5.4.99.25	COG0130	tRNA pseudouridine synthase B
KOOEHCHE_00009	CDS	1035	lifO_1		COG5380	Lipase chaperone
KOOEHCHE_00010	CDS	975	lip_1	3.1.1.3	COG1075	Triacylglycerol lipase
KOOEHCHE_00011	CDS	369	rplS_1		COG0335	50S ribosomal protein L19
KOOEHCHE_00012	CDS	741	trmD_1	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
KOOEHCHE_00013	CDS	549	rimM_1		COG0806	Ribosome maturation factor RimM
KOOEHCHE_00014	CDS	252	rpsP_1		COG0228	30S ribosomal protein S16
KOOEHCHE_00015	CDS	426				hypothetical protein
KOOEHCHE_00016	CDS	483				hypothetical protein
KOOEHCHE_00017	CDS	3867				hypothetical protein
KOOEHCHE_00018	CDS	819				hypothetical protein
KOOEHCHE_00019	CDS	1002				hypothetical protein
KOOEHCHE_00020	CDS	555				hypothetical protein
KOOEHCHE_00021	CDS	474				hypothetical protein
KOOEHCHE_00022	CDS	951	ispH_1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
KOOEHCHE_00023	CDS	630	gmk_1	2.7.4.8	COG0194	Guanylate kinase
KOOEHCHE_00024	CDS	279	rpoZ_1	2.7.7.6		DNA-directed RNA polymerase subunit omega
KOOEHCHE_00025	CDS	2106	spoT_1		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
KOOEHCHE_00026	CDS	384	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
KOOEHCHE_00027	CDS	195	bfd_1		COG2906	Bacterioferritin-associated ferredoxin
KOOEHCHE_00028	CDS	465	bfr_1	1.16.3.1	COG2193	Bacterioferritin
KOOEHCHE_00029	CDS	1629				hypothetical protein
KOOEHCHE_00030	CDS	1311				hypothetical protein
KOOEHCHE_00031	CDS	435	pilA_1		COG4969	Fimbrial protein
KOOEHCHE_00032	CDS	561				hypothetical protein
KOOEHCHE_00033	CDS	1083				hypothetical protein
KOOEHCHE_00034	CDS	591	lemA_1		COG1704	Protein LemA
KOOEHCHE_00035	CDS	888				hypothetical protein
KOOEHCHE_00036	CDS	1422	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
KOOEHCHE_00037	CDS	4482	gltB_1	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
KOOEHCHE_00038	CDS	876				hypothetical protein
KOOEHCHE_00039	CDS	1083	aroB_1	4.2.3.4	COG0337	3-dehydroquinate synthase
KOOEHCHE_00040	CDS	570	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
